Cantón,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
SAN JOSE,0.824,0.82,0.816,0.809,0.813,0.822,0.824,0.815,0.822,0.815,0.82,0.816,0.825,0.831
ESCAZU,0.895,0.894,0.893,0.882,0.899,0.914,0.895,0.912,0.902,0.915,0.909,0.905,0.922,0.92
DESAMPARADOS,0.779,0.787,0.778,0.777,0.776,0.782,0.785,0.787,0.778,0.783,0.789,0.794,0.798,0.804
PURISCAL,0.761,0.774,0.786,0.775,0.767,0.769,0.79,0.781,0.789,0.805,0.792,0.803,0.807,0.799
TARRAZU,0.663,0.685,0.687,0.671,0.707,0.704,0.716,0.741,0.743,0.715,0.719,0.715,0.732,0.743
ASERRI,0.764,0.753,0.746,0.757,0.763,0.752,0.79,0.782,0.783,0.793,0.785,0.787,0.787,0.801
MORA,0.822,0.821,0.825,0.835,0.847,0.819,0.836,0.843,0.839,0.837,0.855,0.857,0.861,0.853
GOICOECHEA,0.805,0.817,0.811,0.813,0.821,0.812,0.829,0.824,0.827,0.819,0.825,0.807,0.817,0.817
SANTA ANA,0.87,0.881,0.879,0.895,0.897,0.906,0.917,0.9,0.912,0.913,0.909,0.91,0.922,0.935
ALAJUELITA,0.726,0.738,0.731,0.717,0.734,0.739,0.745,0.751,0.743,0.749,0.753,0.761,0.764,0.769
VAZQUEZ DE CORONADO,0.8,0.802,0.817,0.811,0.817,0.826,0.834,0.843,0.831,0.85,0.841,0.84,0.85,0.844
ACOSTA,0.733,0.727,0.778,0.732,0.755,0.749,0.793,0.76,0.758,0.787,0.758,0.789,0.769,0.791
TIBAS,0.841,0.83,0.817,0.828,0.81,0.83,0.826,0.83,0.81,0.839,0.838,0.83,0.83,0.834
MORAVIA,0.862,0.877,0.865,0.874,0.867,0.885,0.895,0.882,0.876,0.876,0.867,0.887,0.875,0.875
MONTES DE OCA,0.907,0.916,0.916,0.913,0.897,0.9,0.913,0.901,0.904,0.911,0.914,0.914,0.916,0.915
TURRUBARES,0.626,0.657,0.629,0.672,0.674,0.657,0.688,0.736,0.738,0.716,0.736,0.773,0.748,0.734
DOTA,0.637,0.652,0.639,0.662,0.632,0.727,0.671,0.664,0.71,0.747,0.74,0.723,0.757,0.707
CURRIDABAT,0.884,0.864,0.857,0.867,0.873,0.896,0.867,0.896,0.878,0.898,0.876,0.893,0.898,0.902
PEREZ ZELEDON,0.737,0.734,0.738,0.733,0.733,0.748,0.755,0.754,0.755,0.758,0.769,0.769,0.796,0.798
LEON CORTES,0.719,0.677,0.706,0.708,0.688,0.735,0.726,0.742,0.696,0.728,0.728,0.716,0.768,0.732
ALAJUELA,0.798,0.799,0.798,0.787,0.793,0.805,0.808,0.811,0.811,0.811,0.814,0.825,0.826,0.833
SAN RAMON,0.779,0.78,0.781,0.779,0.773,0.786,0.796,0.806,0.797,0.803,0.799,0.816,0.804,0.83
GRECIA,0.786,0.789,0.797,0.792,0.781,0.805,0.791,0.794,0.789,0.813,0.813,0.814,0.812,0.825
SAN MATEO,0.697,0.695,0.706,0.718,0.725,0.725,0.736,0.737,0.76,0.758,0.758,0.749,0.784,0.788
ATENAS,0.8,0.763,0.807,0.799,0.774,0.784,0.802,0.803,0.827,0.809,0.795,0.83,0.817,0.823
NARANJO,0.76,0.783,0.77,0.782,0.782,0.778,0.781,0.779,0.789,0.789,0.77,0.794,0.818,0.807
PALMARES,0.806,0.785,0.794,0.786,0.792,0.803,0.801,0.796,0.802,0.818,0.821,0.808,0.813,0.813
POAS,0.761,0.786,0.788,0.767,0.768,0.774,0.767,0.781,0.792,0.797,0.804,0.79,0.799,0.806
OROTINA,0.807,0.774,0.789,0.803,0.776,0.8,0.782,0.79,0.788,0.792,0.808,0.802,0.819,0.833
SAN CARLOS,0.763,0.768,0.756,0.773,0.771,0.785,0.781,0.793,0.791,0.79,0.792,0.797,0.798,0.809
ZARCERO,0.743,0.803,0.778,0.768,0.771,0.789,0.757,0.765,0.767,0.769,0.795,0.792,0.831,0.816
SARCHI,0.78,0.762,0.793,0.775,0.767,0.8,0.779,0.803,0.771,0.816,0.802,0.784,0.79,0.783
UPALA,0.66,0.682,0.687,0.677,0.701,0.702,0.723,0.728,0.709,0.728,0.733,0.738,0.749,0.747
LOS CHILES,0.643,0.647,0.682,0.654,0.654,0.679,0.674,0.68,0.678,0.702,0.692,0.71,0.709,0.708
GUATUSO,0.704,0.69,0.699,0.709,0.714,0.72,0.698,0.724,0.723,0.746,0.729,0.749,0.732,0.747
RIO CUARTO,,,,,,,,,,,,,,0.791
CARTAGO,0.801,0.791,0.803,0.81,0.816,0.813,0.828,0.828,0.828,0.835,0.822,0.822,0.824,0.836
PARAISO,0.778,0.77,0.794,0.791,0.813,0.79,0.811,0.809,0.805,0.817,0.822,0.82,0.813,0.801
LA UNION,0.812,0.821,0.824,0.84,0.839,0.851,0.836,0.837,0.858,0.853,0.85,0.858,0.863,0.875
JIMENEZ,0.755,0.747,0.749,0.73,0.753,0.772,0.761,0.802,0.749,0.774,0.778,0.819,0.791,0.764
TURRIALBA,0.752,0.751,0.773,0.772,0.778,0.782,0.787,0.779,0.789,0.787,0.789,0.782,0.805,0.802
ALVARADO,0.788,0.803,0.802,0.805,0.782,0.778,0.818,0.79,0.798,0.797,0.81,0.834,0.81,0.812
OREAMUNO,0.811,0.811,0.809,0.838,0.804,0.821,0.831,0.821,0.83,0.84,0.828,0.814,0.788,0.815
EL GUARCO,0.783,0.771,0.792,0.795,0.8,0.815,0.814,0.83,0.815,0.822,0.814,0.814,0.822,0.834
HEREDIA,0.855,0.859,0.872,0.85,0.866,0.858,0.874,0.86,0.866,0.87,0.855,0.871,0.878,0.88
BARVA,0.821,0.852,0.814,0.824,0.815,0.831,0.836,0.844,0.841,0.843,0.862,0.841,0.843,0.851
SANTO DOMINGO,0.876,0.872,0.868,0.856,0.854,0.887,0.861,0.85,0.875,0.871,0.864,0.868,0.868,0.882
SANTA BARBARA,0.824,0.826,0.814,0.819,0.821,0.825,0.837,0.828,0.831,0.819,0.827,0.827,0.842,0.839
SAN RAFAEL,0.873,0.85,0.846,0.86,0.853,0.856,0.866,0.878,0.86,0.869,0.857,0.871,0.876,0.874
SAN ISIDRO,0.832,0.862,0.86,0.827,0.845,0.849,0.874,0.858,0.878,0.862,0.867,0.889,0.884,0.89
BELEN,0.871,0.875,0.862,0.847,0.894,0.868,0.887,0.892,0.922,0.907,0.883,0.927,0.899,0.917
