Cantón,Año,IDH
SAN JOSE,2006,0.824
SAN JOSE,2007,0.82
SAN JOSE,2008,0.816
SAN JOSE,2009,0.809
SAN JOSE,2010,0.813
SAN JOSE,2011,0.822
SAN JOSE,2012,0.824
SAN JOSE,2013,0.815
SAN JOSE,2014,0.822
SAN JOSE,2015,0.815
SAN JOSE,2016,0.82
SAN JOSE,2017,0.816
SAN JOSE,2018,0.825
SAN JOSE,2019,0.831
ESCAZU,2006,0.895
ESCAZU,2007,0.894
ESCAZU,2008,0.893
ESCAZU,2009,0.882
ESCAZU,2010,0.899
ESCAZU,2011,0.914
ESCAZU,2012,0.895
ESCAZU,2013,0.912
ESCAZU,2014,0.902
ESCAZU,2015,0.915
ESCAZU,2016,0.909
ESCAZU,2017,0.905
ESCAZU,2018,0.922
ESCAZU,2019,0.92
DESAMPARADOS,2006,0.779
DESAMPARADOS,2007,0.787
DESAMPARADOS,2008,0.778
DESAMPARADOS,2009,0.777
DESAMPARADOS,2010,0.776
DESAMPARADOS,2011,0.782
DESAMPARADOS,2012,0.785
DESAMPARADOS,2013,0.787
DESAMPARADOS,2014,0.778
DESAMPARADOS,2015,0.783
DESAMPARADOS,2016,0.789
DESAMPARADOS,2017,0.794
DESAMPARADOS,2018,0.798
DESAMPARADOS,2019,0.804
PURISCAL,2006,0.761
PURISCAL,2007,0.774
PURISCAL,2008,0.786
PURISCAL,2009,0.775
PURISCAL,2010,0.767
PURISCAL,2011,0.769
PURISCAL,2012,0.79
PURISCAL,2013,0.781
PURISCAL,2014,0.789
PURISCAL,2015,0.805
PURISCAL,2016,0.792
PURISCAL,2017,0.803
PURISCAL,2018,0.807
PURISCAL,2019,0.799
TARRAZU,2006,0.663
TARRAZU,2007,0.685
TARRAZU,2008,0.687
TARRAZU,2009,0.671
TARRAZU,2010,0.707
TARRAZU,2011,0.704
TARRAZU,2012,0.716
TARRAZU,2013,0.741
TARRAZU,2014,0.743
TARRAZU,2015,0.715
TARRAZU,2016,0.719
TARRAZU,2017,0.715
